iter	Logloss
0	0.6851551497
1	0.6770212524
2	0.6694327733
3	0.6631564984
4	0.6568794371
5	0.6481633919
6	0.6417220081
7	0.6391358516
8	0.6329398527
9	0.6274126558
10	0.6219134642
11	0.6171822874
12	0.6109574493
13	0.6064156532
14	0.6027732023
15	0.5990970284
16	0.5933476612
17	0.5901015176
18	0.5871892731
19	0.583498744
20	0.5788921424
21	0.5755054351
22	0.5703081118
23	0.5682078851
24	0.5638392482
25	0.5605046539
26	0.5579310973
27	0.5545434397
28	0.550509799
29	0.5461861342
30	0.5438931818
31	0.5402903352
32	0.5371313379
33	0.5355142461
34	0.532140177
35	0.5295934802
36	0.5290630522
37	0.5261699208
38	0.5237060174
39	0.5205099415
40	0.5173429546
41	0.5150773149
42	0.5124238045
43	0.5112874376
44	0.5091021945
45	0.5075964121
46	0.506681374
47	0.5053072505
48	0.503552038
49	0.5016495401
50	0.4993919592
51	0.4971987822
52	0.4946648113
53	0.4926876813
54	0.490111388
55	0.4883648192
56	0.4871916421
57	0.4857096946
58	0.4836649402
59	0.4826238355
60	0.4814141387
61	0.4801789129
62	0.478814365
63	0.4777920883
64	0.4751862479
65	0.4744733486
66	0.4725621321
67	0.4715356056
68	0.46932216
69	0.4675695533
70	0.4668782862
71	0.4658937521
72	0.4650457945
73	0.4648224833
74	0.4636703513
75	0.4616892802
76	0.4607712923
77	0.4607207464
78	0.4596028481
79	0.4583308786
80	0.4574413039
81	0.4558896479
82	0.4543126922
83	0.4533815627
84	0.4526221438
85	0.4520492096
86	0.4512399277
87	0.4502847249
88	0.4490394199
89	0.4477703481
90	0.4463199801
91	0.4450207981
92	0.4449123108
93	0.4440756476
94	0.4437011101
95	0.4429992738
96	0.4415060977
97	0.441254859
98	0.4400977999
99	0.4392297558
100	0.4372760006
101	0.4367788883
102	0.4351853274
103	0.434494985
104	0.4340788582
105	0.4327688821
106	0.4322048217
107	0.4313242022
108	0.4300482158
109	0.4293490959
110	0.428498864
111	0.4277034979
112	0.4272269223
113	0.4261417844
114	0.4252245431
115	0.424482301
116	0.4228209001
117	0.4214814037
118	0.420966804
119	0.4196677869
120	0.4189005509
121	0.4180969045
122	0.4177136955
123	0.4172391354
124	0.4162865568
125	0.4153466769
126	0.4148615472
127	0.4144157512
128	0.4137206343
129	0.4122816784
130	0.4111752281
131	0.4102651844
132	0.4096840785
133	0.4090911823
134	0.4083176723
135	0.4075686139
136	0.4074997172
137	0.4066699924
138	0.4061947296
139	0.4061876036
140	0.4054810586
141	0.4048097767
142	0.4045407833
143	0.4032988391
144	0.4022873618
145	0.4016032732
146	0.4004235859
147	0.3996660755
148	0.3991068515
149	0.3976335666
150	0.3972289567
151	0.3969832847
152	0.3961820235
153	0.3960401136
154	0.3953066414
155	0.3945455807
156	0.3938295432
157	0.3933541787
158	0.3926298194
159	0.3924458278
160	0.3918138221
161	0.3910995533
162	0.390958195
163	0.3902081631
164	0.3897408016
165	0.3888155264
166	0.3878680509
167	0.3874159242
168	0.3874119413
169	0.3869668043
170	0.3868921796
171	0.3864679079
172	0.3854785344
173	0.3845822834
174	0.3840544259
175	0.3835402178
176	0.3827449845
177	0.3823401514
178	0.3814069232
179	0.3806711286
180	0.3794695207
181	0.378956349
182	0.3782115775
183	0.3771382591
184	0.3764628452
185	0.3757521874
186	0.3748602362
187	0.3740541763
188	0.373946551
189	0.3732114573
190	0.3727619778
191	0.3723239189
192	0.3716451146
193	0.3709258005
194	0.3701520286
195	0.3693029024
196	0.3690641711
197	0.3677525188
198	0.3675968418
199	0.3672290803
200	0.3664586884
201	0.3656423367
202	0.3651070282
203	0.3642334012
204	0.3635209306
205	0.3633788914
206	0.3625562074
207	0.3624405601
208	0.3619297031
209	0.361178418
210	0.3602866072
211	0.359130477
212	0.3584594357
213	0.3577742813
214	0.3568480956
215	0.3562398785
216	0.3555521962
217	0.3550386862
218	0.3544679416
219	0.3538837782
220	0.3533582842
221	0.3529920559
222	0.3529461384
223	0.3518840987
224	0.3510349858
225	0.3506495022
226	0.3500893817
227	0.3492607421
228	0.3488064985
229	0.3486137688
230	0.3477004887
231	0.3468889994
232	0.3462063619
233	0.3456604847
234	0.3453794581
235	0.3449011895
236	0.3443994071
237	0.3437383421
238	0.3435732796
239	0.3426382023
240	0.3419719752
241	0.3413752952
242	0.3407966543
243	0.3400466281
244	0.3395137688
245	0.3392348264
246	0.3387969203
247	0.3383068583
248	0.3380077638
249	0.3372984549
250	0.3365261394
251	0.3359700662
252	0.3351382093
253	0.3347054248
254	0.3335100427
255	0.3326263779
256	0.332263356
257	0.3320212426
258	0.3314592323
259	0.3308161607
260	0.3301427286
261	0.3298704879
262	0.3291144385
263	0.3281772422
264	0.3278612432
265	0.3271224092
266	0.3264692099
267	0.3249806896
268	0.3249501595
269	0.3244971953
270	0.3239334885
271	0.3226254334
272	0.3219516445
273	0.3211861142
274	0.3205639351
275	0.3202417672
276	0.3193651349
277	0.3190393382
278	0.3184776254
279	0.3180820809
