iter	Logloss
280	0.3172636182
281	0.3167419697
282	0.3162197508
283	0.3157649333
284	0.3154620171
285	0.3148601176
286	0.31465308
287	0.3144249751
288	0.3137270579
289	0.3131338736
290	0.3125236443
291	0.3119442829
292	0.3116557367
293	0.3108851487
294	0.3102881202
295	0.3096611182
296	0.3091624277
297	0.3087520121
298	0.3083682807
299	0.3076145623
300	0.3074083826
301	0.3071156291
302	0.3067083858
303	0.306188973
304	0.3058725371
305	0.3056487622
306	0.3051772447
307	0.3047568115
308	0.304099993
309	0.303825131
310	0.3036579222
311	0.3036551248
312	0.3032530529
313	0.302757443
314	0.3024014367
315	0.3019079897
316	0.3015579466
317	0.3007529654
318	0.3005272692
319	0.3000537366
320	0.2997144148
321	0.2994323869
322	0.2989877549
323	0.2984794569
324	0.2979217974
325	0.2976302583
326	0.2974459547
327	0.2971540263
328	0.2969564889
329	0.2966480575
330	0.2961073873
331	0.295774084
332	0.29528236
333	0.2943887334
334	0.2939428677
335	0.2935074488
336	0.2931150531
337	0.2923170394
338	0.2921461999
339	0.2912731588
340	0.2907986246
341	0.2901185112
342	0.2895448222
343	0.2891153051
344	0.2886131
345	0.2882856526
346	0.2879373813
347	0.2876093658
348	0.2871527098
349	0.2868296537
350	0.2866529797
351	0.2863263497
352	0.2861480653
353	0.2857253482
354	0.2850253416
355	0.2846110315
356	0.2835640221
357	0.2829769477
358	0.2827506973
359	0.2824669609
360	0.2823971093
361	0.2821287255
362	0.2818980936
363	0.2815339559
364	0.2809261099
365	0.2804925303
366	0.2801957015
367	0.2797934128
368	0.2791118786
369	0.2782029809
370	0.2773291168
371	0.2769087329
372	0.2765105909
373	0.2759628293
374	0.2754529678
375	0.2750843158
376	0.2747743105
377	0.2743949999
378	0.2742691896
379	0.273893871
380	0.2729707709
381	0.2727909485
382	0.2721919827
383	0.2717060397
384	0.2712966958
385	0.2707655757
386	0.2700968454
387	0.2695600211
388	0.2693155372
389	0.2687950249
390	0.2683656768
391	0.2681236983
392	0.2680279894
393	0.2671432911
394	0.2663299106
395	0.2661118854
396	0.2657023958
397	0.265541514
398	0.2652581683
399	0.2648413037
